,PlanningArea,Subzone,PlanningRegion,Total,young,old,EconomicallyActive,Young,Old,EconomicallyActive,Year
71,Changi,Changi Point,East Region,740,140,170,430,18.91866326,22.97266253,58.10732287,2017
72,Changi,Changi West,East Region,1480,620,70,790,41.89160884,4.729697772,53.37801772,2017
73,Changi Bay,Changi Bay,NA,0,0,0,0,0,0,0,2017
74,Choa Chu Kang,Choa Chu Kang Central,West Region,21430,6670,1910,12850,31.12457717,8.912734992,59.96264117,2017
75,Choa Chu Kang,Choa Chu Kang North,West Region,33490,11620,2530,19340,34.69691409,7.554491623,57.74856442,2017
76,Choa Chu Kang,Keat Hong,West Region,29340,9740,1920,17690,33.18567864,6.54173542,60.27255187,2017
77,Choa Chu Kang,Peng Siang,West Region,34170,10450,3110,20620,30.57342581,9.098885577,60.32765935,2017
78,Choa Chu Kang,Teck Whye,West Region,25880,7110,3320,15460,27.46233006,12.82347902,59.71415229,2017
79,Choa Chu Kang,Yew Tee,West Region,42280,13570,3090,25640,32.08037067,7.304962812,60.61464288,2017
80,Clementi,Clementi Central,West Region,13100,3100,2470,7550,23.62803077,18.82620516,57.54568785,2017
81,Clementi,Clementi North,West Region,30360,6500,6140,17710,21.4167969,20.23063584,58.35253432,2017
82,Clementi,Clementi West,West Region,16180,3820,2650,9730,23.58023236,16.35801459,60.06169132,2017
83,Clementi,Clementi Woods,West Region,16160,4040,2810,9330,24.96908222,17.36710917,57.66374681,2017
84,Clementi,Faber,West Region,4620,1400,590,2640,30.23751569,12.74295304,57.01931529,2017
85,Clementi,Pandan,West Region,10,0,0,0,0,0,0,2017
86,Clementi,Sunset Way,West Region,6120,1470,1150,3500,24.0195686,18.79081897,57.18944904,2017
87,Clementi,Toh Tuck,West Region,30,0,0,0,0,0,0,2017
88,Clementi,West Coast,West Region,6010,1920,720,3390,31.84074322,11.94027871,56.21881224,2017
89,Downtown Core,Anson,Central Region,90,0,0,0,0,0,0,2017
90,Downtown Core,Bayfront Subzone,Central Region,0,0,0,0,0,0,0,2017
91,Downtown Core,Bugis,Central Region,840,120,210,490,14.63396788,25.60944379,59.75536884,2017
92,Downtown Core,Cecil,Central Region,220,60,10,160,26.08582236,4.347637059,69.56219295,2017
93,Downtown Core,Central Subzone,Central Region,610,120,30,470,19.35452654,4.838631635,75.80522895,2017
94,Downtown Core,City Hall,Central Region,70,0,0,0,0,0,0,2017
95,Downtown Core,Clifford Pier,Central Region,0,0,0,0,0,0,0,2017
96,Downtown Core,Marina Centre,Central Region,10,0,0,0,0,0,0,2017
97,Downtown Core,Maxwell,Central Region,0,0,0,0,0,0,0,2017
98,Downtown Core,Phillip,Central Region,0,0,0,0,0,0,0,2017
99,Downtown Core,Raffles Place,Central Region,40,0,0,0,0,0,0,2017
100,Downtown Core,Tanjong Pagar,Central Region,580,80,80,440,13.33311111,13.33311111,73.33211113,2017
101,Geylang,Aljunied,Central Region,40010,8770,6930,24290,21.93047714,17.329328,60.74016986,2017
102,Geylang,Geylang East,Central Region,32140,7780,5470,18890,24.20658861,17.01928531,58.77409497,2017
103,Geylang,Kallang Way,Central Region,40,0,0,0,0,0,0,2017
104,Geylang,Kampong Ubi,Central Region,12600,3200,1490,7910,25.39680524,11.82538744,62.77772795,2017
105,Geylang,Macpherson,Central Region,28680,6750,5060,16870,23.53555665,17.64295061,58.82145787,2017
106,Hougang,Defu Industrial Park,North East Region,30,0,0,0,0,0,0,2017
107,Hougang,Hougang Central,North East Region,4760,1240,660,2860,26.05036544,13.86551709,60.08390739,2017
108,Hougang,Hougang East,North East Region,24820,6650,2600,15600,26.76055261,10.46277245,62.7766347,2017
109,Hougang,Hougang West,North East Region,47350,11160,6630,29570,23.56418421,13.99915245,62.43664222,2017
110,Hougang,Kangkar,North East Region,30180,7870,4000,18340,26.05096787,13.24064441,60.70835461,2017
111,Hougang,Kovan,North East Region,25900,7000,3630,15260,27.03745576,14.02085206,58.94165356,2017
112,Hougang,Lorong Ah Soo,North East Region,32970,7760,5650,19580,23.52227235,17.12639675,59.35130059,2017
113,Hougang,Lorong Halus,North East Region,0,0,0,0,0,0,0,2017
114,Hougang,Tai Seng,North East Region,14290,3790,2340,8180,26.48495703,16.35218983,57.16278325,2017
115,Hougang,Trafalgar,North East Region,44110,12550,5050,26520,28.44514314,11.44605362,60.10878057,2017
116,Jurong East,International Business Park,West Region,10,0,0,0,0,0,0,2017
117,Jurong East,Jurong Gateway,West Region,250,70,0,170,29.16545144,0,70.83038207,2017
118,Jurong East,Jurong Port,West Region,0,0,0,0,0,0,0,2017
119,Jurong East,Jurong River,West Region,10,0,0,0,0,0,0,2017
120,Jurong East,Lakeside,West Region,910,170,220,550,18.08491399,23.40400634,58.51001585,2017
121,Jurong East,Penjuru Crescent,West Region,10,0,0,0,0,0,0,2017
122,Jurong East,Teban Gardens,West Region,19780,5090,3170,11510,25.7460669,16.03438744,58.21949508,2017
123,Jurong East,Toh Guan,West Region,15870,4290,1650,9930,27.03211907,10.39696887,62.57084904,2017
124,Jurong East,Yuhua East,West Region,26330,6070,4320,15940,23.05354233,16.40713391,60.53928578,2017
125,Jurong East,Yuhua West,West Region,20420,5240,2950,12230,25.66110399,14.44661389,59.89223316,2017
126,Jurong West,Boon Lay Place,West Region,30090,9040,3300,17770,30.02323812,10.95981038,59.01691829,2017
127,Jurong West,Boon Lay Place,North Region,30090,9040,3300,17770,30.02323812,10.95981038,59.01691829,2017
128,Jurong West,Chin Bee,West Region,10,0,0,0,0,0,0,2017
129,Jurong West,Chin Bee,North Region,10,0,0,0,0,0,0,2017
130,Jurong West,Hong Kah,West Region,55420,14170,7680,33590,25.55915845,13.85281135,60.58801216,2017
131,Jurong West,Hong Kah,North Region,55420,14170,7680,33590,25.55915845,13.85281135,60.58801216,2017
132,Jurong West,Jurong West Central,West Region,67630,20330,5240,42060,30.06061954,7.748039665,62.19132601,2017
133,Jurong West,Jurong West Central,North Region,67630,20330,5240,42060,30.06061954,7.748039665,62.19132601,2017
134,Jurong West,Kian Teck,West Region,50,0,0,0,0,0,0,2017
135,Jurong West,Kian Teck,North Region,50,0,0,0,0,0,0,2017
136,Jurong West,Safti,West Region,0,0,0,0,0,0,0,2017
137,Jurong West,Safti,North Region,0,0,0,0,0,0,0,2017
138,Jurong West,Taman Jurong,West Region,37400,11340,3820,22240,30.32084751,10.21390101,59.46522474,2017
139,Jurong West,Taman Jurong,North Region,37400,11340,3820,22240,30.32084751,10.21390101,59.46522474,2017
140,Jurong West,Wenya,West Region,8560,2760,680,5140,32.16779468,7.925398688,59.90669009,2017
141,Jurong West,Wenya,North Region,8560,2760,680,5140,32.16779468,7.925398688,59.90669009,2017
142,Jurong West,Yunnan,West Region,68700,20850,6540,41350,30.3316802,9.514109759,60.1541955,2017
143,Jurong West,Yunnan,North Region,68700,20850,6540,41350,30.3316802,9.514109759,60.1541955,2017
144,Kallang,Bendemeer,Central Region,34860,7710,6120,21040,22.11069053,17.55089832,60.33838247,2017
145,Kallang,Boon Keng,Central Region,12300,2600,2470,7260,21.08676311,20.03242495,58.88073083,2017
146,Kallang,Crawford,Central Region,9350,1630,2570,5150,17.43313644,27.48660162,55.08015499,2017
147,Kallang,Geylang Bahru,Central Region,12320,2680,2430,7220,21.73558659,19.70801321,58.55631909,2017
148,Kallang,Kallang Bahru,Central Region,30,0,0,0,0,0,0,2017
149,Kallang,Kampong Bugis,Central Region,860,170,140,550,19.76721201,16.27888048,63.95274474,2017
150,Kallang,Kampong Java,Central Region,10850,2410,2120,6330,22.19150811,19.52116066,58.28723915,2017
151,Kallang,Lavender,Central Region,9990,2230,1810,5950,22.32229998,18.11809998,59.55949994,2017
152,Kallang,Tanjong Rhu,Central Region,11060,2930,1370,6770,26.46790744,12.37577925,61.15622298,2017
153,Lim Chu Kang,Lim Chu Kang,NA,110,40,20,60,33.33055579,16.66527789,49.99583368,2017
154,Mandai,Mandai East,North Region,0,0,0,0,0,0,0,2017
155,Mandai,Mandai Estate,North Region,2130,670,220,1220,31.75340401,10.42649087,57.81963119,2017
156,Mandai,Mandai West,North Region,0,0,0,0,0,0,0,2017
157,Marina East,Marina East,NA,0,0,0,0,0,0,0,2017
158,Marina South,Marina South,NA,0,0,0,0,0,0,0,2017
159,Marine Parade,East Coast,Central Region,0,0,0,0,0,0,0,2017
160,Marine Parade,Katong,Central Region,9430,2460,1430,5550,26.05929443,15.14828904,58.7923106,2017
161,Marine Parade,Marina East (Mp),Central Region,0,0,0,0,0,0,0,2017
162,Marine Parade,Marine Parade,Central Region,28080,6990,5660,15450,24.87543599,20.14234159,54.98218684,2017
163,Marine Parade,Mountbatten,Central Region,10380,2860,1520,6010,27.52644126,14.62943732,57.84402517,2017
164,Museum,Bras Basah,Central Region,10,0,0,0,0,0,0,2017
165,Museum,Dhoby Ghaut,Central Region,220,20,10,160,10.5257618,5.262880901,84.20609442,2017
166,Museum,Fort Canning,Central Region,180,50,10,120,27.77623465,5.555246931,66.66296317,2017
167,Newton,Cairnhill,Central Region,3520,940,500,2100,26.55359731,14.12425389,59.32186632,2017
168,Newton,Goodwood Park,Central Region,1060,340,110,620,31.77540397,10.28027775,57.94338371,2017
169,Newton,Istana Negara,Central Region,50,0,0,0,0,0,0,2017
170,Newton,Monk's Hill,Central Region,930,250,140,540,26.88143138,15.05360157,58.06389179,2017
171,Newton,Newton Circus,Central Region,230,70,30,150,27.99888004,11.99952002,59.9976001,2017
172,Newton,Orange Grove,Central Region,1480,340,260,920,22.36827389,17.10515062,60.52591759,2017
173,North-Eastern Islands,North-Eastern Islands,NA,50,0,0,0,0,0,0,2017
174,Novena,Balestier,Central Region,32470,7580,5680,19210,23.34461862,17.49306514,59.16228544,2017
175,Novena,Dunearn,Central Region,3890,1130,720,2070,28.82645708,18.36730008,52.80598774,2017
176,Novena,Malcolm,Central Region,2690,800,450,1460,29.52018627,16.60510478,53.87433995,2017
177,Novena,Moulmein,Central Region,8870,2740,920,5210,30.89060779,10.37202889,58.73725058,2017
178,Novena,Mount Pleasant,Central Region,680,180,110,370,27.27231406,16.66641415,56.05975667,2017
179,Orchard,Boulevard,Central Region,440,90,80,280,19.99955557,17.77738272,62.22083954,2017
180,Orchard,Somerset,Central Region,110,30,10,70,27.27024816,9.09008272,63.63057904,2017
181,Orchard,Tanglin,Central Region,410,110,70,240,26.18985262,16.66626985,57.14149663,2017
182,Outram,China Square,Central Region,1500,210,430,880,13.81569858,28.28928757,57.89435596,2017
183,Outram,Chinatown,Central Region,11320,2600,2040,6680,22.96817759,18.02118549,59.01054858,2017
184,Outram,Pearl's Hill,Central Region,7710,1330,2160,4200,17.29516607,28.08839,54.61631389,2017
185,Outram,People's Park,Central Region,320,30,60,230,9.37470704,18.74941408,71.87275398,2017
186,Pasir Ris,Flora Drive,East Region,14510,4340,1460,8740,29.84867273,10.04125857,60.10999992,2017
187,Pasir Ris,Loyang East,East Region,2150,590,290,1270,27.44173283,13.48830936,59.0694927,2017
188,Pasir Ris,Loyang West,East Region,210,0,180,20,0,89.99550022,9.999500025,2017
189,Pasir Ris,Pasir Ris Central,East Region,28670,9040,2330,17310,31.52021216,8.12412548,60.35562749,2017
190,Pasir Ris,Pasir Ris Drive,East Region,56970,17860,5650,33450,31.35533157,9.919239832,58.72541104,2017
191,Pasir Ris,Pasir Ris Park,East Region,6680,2260,290,4130,33.83228468,4.341310866,61.82625475,2017
192,Pasir Ris,Pasir Ris Wafer Fab Park,East Region,30,0,0,0,0,0,0,2017
193,Pasir Ris,Pasir Ris West,East Region,35750,12060,2780,20920,33.72482278,7.774047043,58.50110221,2017
194,Paya Lebar,Airport Road,NA,0,0,0,0,0,0,0,2017
195,Paya Lebar,Paya Lebar East,NA,10,0,0,0,0,0,0,2017
196,Paya Lebar,Paya Lebar North,NA,30,0,0,0,0,0,0,2017
197,Paya Lebar,Paya Lebar West,NA,0,0,0,0,0,0,0,2017
198,Paya Lebar,Plab,NA,0,0,0,0,0,0,0,2017
199,Pioneer,Benoi Sector,NA,10,0,0,0,0,0,0,2017
200,Pioneer,Gul Basin,NA,20,0,0,0,0,0,0,2017
201,Pioneer,Gul Circle,NA,40,0,0,0,0,0,0,2017
202,Pioneer,Joo Koon,NA,30,0,0,0,0,0,0,2017
203,Pioneer,Pioneer Sector,NA,0,0,0,0,0,0,0,2017
204,Punggol,Coney Island,North East Region,0,0,0,0,0,0,0,2017
205,Punggol,Matilda,North East Region,42490,14400,2400,25710,33.87437453,5.645729088,60.47987286,2017
206,Punggol,Northshore,North East Region,290,90,40,170,29.99900003,13.3328889,56.66477784,2017
207,Punggol,Punggol Canal,North East Region,0,0,0,0,0,0,0,2017
208,Punggol,Punggol Field,North East Region,48440,16070,3890,28470,33.18190519,8.032209781,58.78586438,2017
209,Punggol,Punggol Town Centre,North East Region,14560,4800,650,9120,32.9443837,4.461218626,62.59432904,2017
210,Punggol,Waterway East,North East Region,40860,13620,2460,24790,33.32516924,6.019083431,60.65572286,2017
211,Queenstown,Commonwealth,Central Region,7710,1480,1760,4470,19.19582465,22.82746715,57.9765785,2017
212,Queenstown,Dover,Central Region,11710,3090,2000,6640,26.34268854,17.05028384,56.60694236,2017
213,Queenstown,Ghim Moh,Central Region,11730,2690,2740,6310,22.91309803,23.33899205,53.74782475,2017
214,Queenstown,Holland Drive,Central Region,13610,2500,3380,7710,18.39586579,24.87121054,56.73285009,2017
215,Queenstown,Kent Ridge,Central Region,940,210,150,600,21.87477214,15.62483724,62.49934897,2017
216,Queenstown,Margaret Drive,Central Region,14320,3900,1870,8560,27.21561255,13.0495373,59.73478037,2017
217,Queenstown,Mei Chin,Central Region,16250,3870,2990,9400,23.80072337,18.38867258,57.81054255,2017
218,Queenstown,National University Of S'pore,Central Region,230,100,0,130,43.47637059,0,56.51928177,2017
219,Queenstown,One North,Central Region,610,160,30,410,26.66622223,4.999916668,68.33219446,2017
220,Queenstown,Pasir Panjang 1,Central Region,4250,1120,500,2640,26.2910181,11.73706165,61.97168551,2017
221,Queenstown,Pasir Panjang 2,Central Region,3330,850,470,2020,25.4490256,14.07181416,60.47886084,2017
222,Queenstown,Port,Central Region,120,20,20,80,16.66527789,16.66527789,66.66111157,2017
223,Queenstown,Queensway,Central Region,280,60,40,180,21.42780615,14.2852041,64.28341845,2017
224,Queenstown,Singapore Polytechnic,Central Region,130,50,0,100,33.33111126,0,66.66222252,2017
225,Queenstown,Tanglin Halt,Central Region,12370,2450,2750,7160,19.82199044,22.24917294,57.92875572,2017
226,River Valley,Institution Hill,Central Region,3460,950,380,2140,27.37744272,10.95097709,61.67129201,2017
227,River Valley,Leonie Hill,Central Region,2740,710,280,1780,25.63167642,10.10826676,64.25969581,2017
228,River Valley,One Tree Hill,Central Region,1880,480,320,1100,25.26302493,16.84201662,57.89443213,2017
229,River Valley,Oxley,Central Region,1440,310,270,850,21.67817008,18.88098685,59.44014378,2017
230,River Valley,Paterson,Central Region,210,60,20,150,26.08582236,8.695274119,65.21455589,2017
231,Rochor,Bencoolen,Central Region,1380,250,300,840,17.98548212,21.58257854,60.43121992,2017
232,Rochor,Farrer Park,Central Region,2950,630,530,1780,21.42849854,18.02714957,60.54401176,2017
233,Rochor,Kampong Glam,Central Region,180,40,60,90,21.0515236,31.57728541,47.36592811,2017
234,Rochor,Little India,Central Region,3620,700,820,2110,19.28369343,22.58946945,58.12656163,2017
235,Rochor,Mackenzie,Central Region,130,40,0,100,28.5693879,0,71.42346975,2017
236,Rochor,Mount Emily,Central Region,1190,260,110,830,21.66648611,9.166590278,69.16609028,2017
237,Rochor,Rochor Canal,Central Region,10,0,0,0,0,0,0,2017
238,Rochor,Selegie,Central Region,230,50,50,150,19.99920003,19.99920003,59.9976001,2017
239,Rochor,Sungei Road,Central Region,2240,510,520,1220,22.66656593,23.1110084,54.22198124,2017
240,Rochor,Victoria,Central Region,1980,290,520,1170,14.64639067,26.26249362,59.09061065,2017
241,Seletar,Pulau Punggol Barat,NA,0,0,0,0,0,0,0,2017
242,Seletar,Pulau Punggol Timor,NA,0,0,0,0,0,0,0,2017
243,Seletar,Seletar,NA,190,60,0,130,31.57728541,0,68.41745171,2017
244,Seletar,Seletar Aerospace Park,NA,20,0,0,0,0,0,0,2017
245,Sembawang,Admiralty,North Region,14480,4580,1230,8670,31.62981241,8.494469272,59.87564926,2017
246,Sembawang,Sembawang Central,North Region,29810,9280,2290,18230,31.14092915,7.68456118,61.17447612,2017
247,Sembawang,Sembawang East,North Region,1580,480,100,1020,29.9998125,6.249960938,63.74960156,2017
248,Sembawang,Sembawang North,North Region,26970,8600,2010,16380,31.8636414,7.447199908,60.68912164,2017
249,Sembawang,Sembawang Springs,North Region,5100,1570,650,2870,30.84473311,12.77011244,56.38495799,2017
250,Sembawang,Sembawang Straits,North Region,1760,560,190,1010,31.81800103,10.79539321,57.38603758,2017
251,Sembawang,Senoko North,North Region,20,0,0,0,0,0,0,2017
252,Sembawang,Senoko South,North Region,20,0,0,0,0,0,0,2017
253,Sembawang,The Wharves,North Region,0,0,0,0,0,0,0,2017
254,Sengkang,Anchorvale,North East Region,39370,12720,2910,23760,32.29245182,7.387659968,60.31986283,2017
255,Sengkang,Compassvale,North East Region,20810,6530,1470,12810,31.37912956,7.063908186,61.5569142,2017
256,Sengkang,Fernvale,North East Region,49770,16430,3740,29600,33.0118479,7.514565498,59.47356651,2017
257,Sengkang,Lorong Halus North,North East Region,0,0,0,0,0,0,0,2017
258,Sengkang,Rivervale,North East Region,61380,18920,5550,36940,30.80930943,9.037614552,60.15305974,2017
259,Sengkang,Sengkang Town Centre,North East Region,60770,18570,5000,37220,30.54778244,8.22503566,61.22716545,2017
260,Sengkang,Sengkang West,North East Region,10,0,0,0,0,0,0,2017
261,Serangoon,Lorong Chuan,North East Region,8430,2510,1130,4800,29.73930126,13.38860973,56.87197053,2017
262,Serangoon,Seletar Hills,North East Region,14030,3870,2290,7870,27.58372945,16.32215515,56.09404412,2017
263,Serangoon,Serangoon Central,North East Region,25640,5610,4250,15800,21.86281299,16.56273712,61.57441092,2017
264,Serangoon,Serangoon Garden,North East Region,38120,8980,7080,22070,23.55100353,18.56805178,57.88091847,2017
265,Serangoon,Serangoon North,North East Region,16660,4910,1790,9970,29.45409151,10.73784599,59.80800251,2017
266,Serangoon,Serangoon North Ind Estate,North East Region,20,0,0,0,0,0,0,2017
267,Serangoon,Upper Paya Lebar,North East Region,16240,3940,2510,9790,24.2610688,15.45565551,60.28321411,2017
268,Simpang,Pulau Seletar,NA,0,0,0,0,0,0,0,2017
269,Simpang,Simpang North,NA,0,0,0,0,0,0,0,2017
270,Simpang,Simpang South,NA,0,0,0,0,0,0,0,2017
271,Simpang,Tanjong Irau,NA,0,0,0,0,0,0,0,2017
272,Singapore River,Boat Quay,Central Region,140,20,40,80,14.28469395,28.5693879,57.1387758,2017
273,Singapore River,Clarke Quay,Central Region,120,20,10,90,16.66527789,8.332638947,74.99375052,2017
274,Singapore River,Robertson Quay,Central Region,2640,720,190,1730,27.27262397,7.196942436,65.53005481,2017
275,Southern Islands,Sentosa,Central Region,1690,480,90,1120,28.4021988,5.325412276,66.27179721,2017
276,Southern Islands,Southern Group,Central Region,0,0,0,0,0,0,0,2017
277,Straits View,Straits View,NA,0,0,0,0,0,0,0,2017
278,Sungei Kadut,Gali Batu,North Region,30,0,0,0,0,0,0,2017
279,Sungei Kadut,Kranji,North Region,20,0,0,0,0,0,0,2017
280,Sungei Kadut,Pang Sua,North Region,20,0,0,0,0,0,0,2017
281,Sungei Kadut,Reservoir View,North Region,20,0,0,0,0,0,0,2017
282,Sungei Kadut,Turf Club,North Region,680,170,140,370,24.99963236,20.58793253,54.41096454,2017
283,Tampines,Simei,East Region,41190,11400,4830,24960,27.67661382,11.72614428,60.59721763,2017
284,Tampines,Tampines East,East Region,136050,37340,16400,82300,27.44780745,12.05527697,60.49690823,2017
285,Tampines,Tampines North,East Region,0,0,0,0,0,0,0,2017
286,Tampines,Tampines West,East Region,79280,22330,8860,48090,28.16599039,11.17557881,60.65841818,2017
287,Tampines,Xilin,East Region,1790,520,170,1110,28.8887284,9.444391976,61.66632408,2017
288,Tanglin,Chatsworth,Central Region,6280,1630,760,3910,25.8729748,12.06347292,62.06339355,2017
289,Tanglin,Nassim,Central Region,9120,2750,1190,5180,30.15347571,13.04823131,56.79818334,2017
290,Tanglin,Ridout,Central Region,1370,370,230,760,27.20568231,16.91164036,55.88194204,2017
